RACE,Number,Percent,
White nonhispanic,"45,661",65.10,
Black/African American nonhispanic,"4,017",5.70,
Asian nonhispanic,"8,267",11.80,
Some other race nonhispanic,375,0.50,
Nonhispanic of two or more races,"1,587",2.30,
Hispanic origin,"10,243",14.60,
,,,
