SELECTED ASIAN SUBGROUPS,Number,Percent,
Asian Indian,"1,606",17.10,
Bangladeshi,60,0.60,
Cambodian,5,0.10,
Chinese,"3,240",34.40,
Filipino,538,5.70,
Indonesian,36,0.40,
Japanese,720,7.70,
Korean,"1,412",15.00,
Malaysian,10,0.10,
Pakistani,100,1.10,
Sri Lankan,21,0.20,
Thai,89,0.90,
Vietnamese,142,1.50,
