SELECTED ASIAN SUBGROUPS,Number,Percent,
Total Asian only,"5,977",93.70,
Asian Indian,"1,095",17.20,
Bangladeshi,30,0.50,
Cambodian,6,0.10,
Chinese,"1,684",26.40,
Filipino,235,3.70,
Indonesian,11,0.20,
Japanese,853,13.40,
Korean,"1,628",25.50,
Malaysian,6,0.10,
Pakistani,64,1.00,
Sri Lankan,10,0.20,
Thai,65,1.00,
Vietnamese,66,1.00,
Other Asian and 2 or more Asian categories,224,3.50,
Asian in combination with another race,402,6.30,
