Race,Number,Percent,,
White nonhispanic,"18,351",64.10%,,
Black/African American nonhispanic,"1,310",4.60%,,
Asian nonhispanic,"5,942",20.80%,,
Some other race nonhispanic,134,0.50%,,
Nonhispanic of two or more races,569,2.00%,,
Hispanic origin,"2,324",8.10%,,
,,,,
